"paper","protocol","shape","payload_label","payload_bytes","load_profile","request_count","total_requests","vus","run_duration_seconds","runs","mean_avg_latency_ms","std_avg_latency_ms","mean_median_latency_ms","std_median_latency_ms","mean_p95_ms","std_p95_ms","mean_throughput_rps","std_throughput_rps","mean_error_rate","std_error_rate","mean_cpu_order_pct","peak_cpu_order_pct","mean_cpu_product_pct","peak_cpu_product_pct","mean_ram_order_mb","peak_ram_order_mb","mean_ram_product_mb","peak_ram_product_mb"
"jarmoszewicz","grpc","flat","large-875kb","896000","j2-100",,,,"","3","1028.764642","59.319624","1033.428967","30.839528","1358.705422","137.835689","97.123404","5.727358","0","0","77.386974","101.196667","58.018254","68.29","2249.889684","2256.554667","3141.71374","3147.093334"
"jarmoszewicz","grpc","flat","large-875kb","896000","j2-50",,,,"","3","536.175963","24.481563","533.508","14.621937","692.328767","78.87851","93.186027","4.162213","0","0","79.1215","92.72","58.460167","99.25","2275.464533","2278.058667","3148.6464","3149.482667"
"jarmoszewicz","grpc","flat","large-875kb","896000","j2-ramp",,,,"","3","546.030705","27.650548","537.7378","30.314364","1030.141523","13.574449","92.841949","4.492876","0","0","83.989507","112.683333","61.346353","113.396667","2240.625649","2245.973333","3152.377498","3153.237333"
"jarmoszewicz","grpc","flat","small-1kb","1024","j1-low",,,,"","3","2.347879","0.023218","2.122683","0.013013","3.801135","0.011025","150.005718","0.006711","0","0","12.347923","19.226667","11.293066","18.126667","2309.972379","2310.826667","3165.744055","3167.914667"
"jarmoszewicz","grpc","flat","small-1kb","1024","j1-medium",,,,"","3","2.405919","0.044651","2.151167","0.017457","3.753113","0.054421","299.993583","0.001759","0","0","24.354262","34.586667","23.542341","48.526667","2301.330286","2304.341333","3152.149943","3152.896"
"jarmoszewicz","grpc","flat","small-1kb","1024","j1-ramp",,,,"","3","4.995093","1.866287","2.708833","0.029027","11.949812","6.750675","649.758186","0.059882","0","0","62.700758","151.16","57.4735","115.973333","2284.229042","2286.933333","3149.754182","3151.189333"
"jarmoszewicz","rest","flat","large-875kb","896000","j2-100",,,,"","3","1109.850305","27.441456","1101.842333","17.30562","1432.525345","98.519689","89.845743","2.215676","0","0","105.410317","176.303333","71.679333","88.12","2319.090184","2329.6","3187.495822","3196.586667"
"jarmoszewicz","rest","flat","large-875kb","896000","j2-50",,,,"","3","564.83715","11.545912","561.040533","8.681558","726.057078","28.049875","88.365456","1.774852","0","0","117.450702","149.406667","79.145547","150.626667","1688.864294","1779.370667","3216.555094","3217.408"
"jarmoszewicz","rest","flat","large-875kb","896000","j2-ramp",,,,"","3","577.895142","15.8134","562.483117","9.695431","1082.39535","31.10249","87.883396","1.885692","0","0","109.600048","139.56","72.609333","86.976667","2314.257879","2319.36","3183.846807","3184.981333"
"jarmoszewicz","rest","flat","small-1kb","1024","j1-low",,,,"","3","10.533987","12.002941","2.861","0.184277","43.562177","65.522771","149.945974","0.100473","0","0","17.178111","69.813333","29.343833","245.9","1348.887568","1390.250667","3051.565511","3126.613333"
"jarmoszewicz","rest","flat","small-1kb","1024","j1-medium",,,,"","3","2.476538","0.126099","2.147483","0.025997","3.993577","0.319732","299.997801","0.004268","0","0","22.764127","41.326667","26.29873","42.81","1308.493207","1311.061334","3170.320254","3170.986667"
"jarmoszewicz","rest","flat","small-1kb","1024","j1-ramp",,,,"","3","31.874852","40.730378","3.0287","0.402708","147.041308","223.959035","645.546683","7.281461","0","0","70.211127","205.396667","76.057333","212.106667","1360.758654","1438.72","3189.020444","3195.562667"
