"paper","protocol","shape","payload_label","payload_bytes","load_profile","request_count","total_requests","vus","run_duration_seconds","runs","mean_avg_latency_ms","std_avg_latency_ms","mean_median_latency_ms","std_median_latency_ms","mean_p95_ms","std_p95_ms","mean_throughput_rps","std_throughput_rps","mean_error_rate","std_error_rate","mean_cpu_order_pct","peak_cpu_order_pct","mean_cpu_product_pct","peak_cpu_product_pct","mean_ram_order_mb","peak_ram_order_mb","mean_ram_product_mb","peak_ram_product_mb"
"niswar","grpc","flat","small","128","request-count","100","100","1","","3","2.672078","0.39509","2.414","0.430037","3.74367","0.277878","344.910578","45.138298","0","0","0.38","0.38","0.203333","0.203333","1619.968","1619.968","2337.792","2337.792"
"niswar","grpc","flat","small","128","request-count","200","200","1","","3","2.810229","0.747403","2.737883","0.789102","3.873605","1.016039","348.736951","80.661697","0","0","3.346667","3.346667","8.306667","8.306667","1619.968","1619.968","2355.2","2355.2"
"niswar","grpc","flat","small","128","request-count","300","300","1","","3","2.480668","0.435784","2.408667","0.489964","3.591988","0.548224","388.319327","65.073812","0","0","0.186667","0.186667","14.996667","14.996667","1620.650667","1620.650667","2382.848","2382.848"
"niswar","grpc","flat","small","128","request-count","400","400","1","","3","3.115319","0.361271","2.901283","0.38518","4.732902","0.739792","308.574118","36.655918","0","0","15.47","15.47","27.066667","27.066667","1628.842667","1628.842667","2420.394667","2420.394667"
"niswar","grpc","flat","small","128","request-count","500","500","1","","3","3.441017","0.730135","3.283717","0.641601","4.970563","0.989785","283.530725","53.770681","0","0","13.891667","17.013333","26.771667","29.75","1445.546666","1445.546666","2462.72","2462.72"
"niswar","grpc","nested","small","128","request-count","100","100","1","","3","2.753874","0.694834","2.539017","0.578486","3.440225","0.959379","339.892998","75.488577","0","0","2.713333","2.713333","0.203333","0.203333","1452.032","1452.032","2485.589333","2485.589333"
"niswar","grpc","nested","small","128","request-count","200","200","1","","3","2.794488","0.453804","2.83505","0.375738","3.898353","0.450865","337.457381","49.101976","0","0","2.976667","2.976667","8.08","8.08","1454.421333","1454.421333","2503.68","2503.68"
"niswar","grpc","nested","small","128","request-count","300","300","1","","3","3.734201","0.57605","3.395083","0.527563","5.549015","1.43284","257.394641","44.736324","0","0","7.746667","7.746667","7.636667","7.636667","1456.128","1456.128","2531.328","2531.328"
"niswar","grpc","nested","small","128","request-count","400","400","1","","3","3.206999","0.306668","3.062767","0.299465","4.692812","0.435148","297.721735","29.67135","0","0","19.543333","19.543333","17.983333","17.983333","1456.469334","1456.469334","2568.533333","2568.533333"
"niswar","grpc","nested","small","128","request-count","500","500","1","","3","3.614293","0.321071","3.342933","0.423285","4.85653","0.501694","264.925722","22.967736","0","0","25.123333","25.123333","31.356667","31.356667","1457.152","1457.152","2613.248","2613.248"
"niswar","rest","flat","small","128","request-count","100","100","1","","3","3.496672","0.409117","3.334117","0.302878","4.773553","0.816248","265.662402","28.181645","0","0","1.46","1.46","3.17","3.17","3062.784","3062.784","2178.730666","2178.730666"
"niswar","rest","flat","small","128","request-count","200","200","1","","3","3.919092","0.099055","3.75935","0.048998","5.546212","0.417178","241.050717","8.077338","0","0","14.26","14.26","12.606667","12.606667","3063.466667","3063.466667","2181.461333","2181.461333"
"niswar","rest","flat","small","128","request-count","300","300","1","","3","3.789341","0.10712","3.597283","0.154667","5.226772","0.323188","251.328482","7.017699","0","0","15.26","15.26","45.343333","45.343333","3069.610667","3069.610667","2185.216","2185.216"
"niswar","rest","flat","small","128","request-count","400","400","1","","3","3.352005","0.846687","3.112533","0.848455","4.642252","0.967443","296.082011","82.041749","0","0","40.493333","40.493333","29.53","29.53","3072.341333","3072.341333","2190.336","2190.336"
"niswar","rest","flat","small","128","request-count","500","500","1","","3","3.589929","0.409868","3.322833","0.426972","5.187225","0.511956","267.938219","29.046661","0","0","56.796667","56.796667","50.286667","50.286667","3074.048","3074.048","2199.552","2199.552"
"niswar","rest","nested","small","128","request-count","100","100","1","","3","4.034784","2.234503","3.582767","1.635779","7.09415","5.662082","269.806757","110.62413","0","0","0.23","0.23","9.336667","9.336667","3086.336","3086.336","2207.402667","2207.402667"
"niswar","rest","nested","small","128","request-count","200","200","1","","3","3.608252","1.635561","3.5079","1.525961","5.313473","2.714903","293.130568","108.731458","0","0","6.5","6.5","12.81","12.81","3089.408","3089.408","2209.450666","2209.450666"
"niswar","rest","nested","small","128","request-count","300","300","1","","3","3.789438","0.744406","3.591667","0.645364","5.39675","1.122888","256.234877","44.852306","0","0","15.16","15.16","37.363333","37.363333","3103.061333","3103.061333","2215.253333","2215.253333"
"niswar","rest","nested","small","128","request-count","400","400","1","","3","3.49395","0.22247","3.2452","0.058489","5.092608","0.552259","273.636988","17.154666","0","0","26.85","26.85","61.886667","61.886667","2611.882667","2611.882667","2247.338667","2247.338667"
"niswar","rest","nested","small","128","request-count","500","500","1","","3","3.369555","0.113873","3.203533","0.053107","4.93752","0.135861","282.171298","8.273229","0","0","17.886667","17.886667","28.89","28.89","1612.117333","1612.117333","2309.802667","2309.802667"
