"model","scenario","runs","mean_avg_ms","std_avg_ms","mean_p95_ms","std_p95_ms","mean_req_per_sec","std_req_per_sec","mean_error_rate","mean_checks_rate"
"async","baseline","5","52.883697","17.418949","136.56621","92.981564","9.458822","0.162338","0","1"
"async","edge","5","23.446854","2.400001","52.075588","7.169317","4.868468","0.027976","0","1"
"async","endurance","5","44.353261","16.819417","120.863395","95.215224","19.132904","0.303898","0","1"
"async","spike","5","263.875222","119.993445","908.05665","533.002897","42.629946","3.797037","0","1"
"async","stress","5","109.607406","62.911159","392.181376","275.255781","28.782933","1.559484","0","1"
"full-grpc","baseline","5","49.892013","7.851867","106.645726","31.789763","9.492059","0.07075","0","1"
"full-grpc","edge","5","23.950865","3.83131","51.470335","11.755271","4.869172","0.023443","0","1"
"full-grpc","endurance","5","42.593871","11.879235","77.748998","8.044929","19.158595","0.212394","0","1"
"full-grpc","spike","5","126.878087","22.207105","413.83257","71.26269","47.550483","0.999355","0","1"
"full-grpc","stress","5","59.631336","21.223253","156.858815","82.287147","30.073762","0.602647","0","1"
"hybrid","baseline","5","50.209817","12.665797","118.356538","63.794306","9.498217","0.119835","0","1"
"hybrid","edge","5","21.850674","0.733233","45.726438","3.614066","4.88245","0.003949","0","1"
"hybrid","endurance","5","37.811778","5.462576","72.312179","6.182468","19.246117","0.096219","0","1"
"hybrid","spike","5","124.103247","12.189093","374.09166","32.585006","47.581396","0.513331","0","1"
"hybrid","stress","5","73.207165","36.802449","221.181398","196.723066","29.719108","1.013461","0","1"
"partial-grpc","baseline","5","51.989688","1.794573","109.13728","5.151603","9.479929","0.013085","0","1"
"partial-grpc","edge","5","22.881017","0.573959","47.134593","2.076423","4.877372","0.005781","0","1"
"partial-grpc","endurance","5","43.834259","7.448579","85.065729","11.698402","19.135728","0.137947","0","1"
"partial-grpc","spike","5","231.600792","124.40999","919.193318","679.710081","43.790446","4.119543","0","1"
"partial-grpc","stress","5","95.343033","61.156547","430.618732","451.382278","29.130503","1.621724","0","1"
"rest","baseline","5","54.307145","5.449879","108.071505","15.067039","9.448671","0.063402","0","1"
"rest","edge","5","22.482447","0.936014","49.146638","2.634159","4.877493","0.011196","0","1"
"rest","endurance","5","41.726473","7.721121","78.853584","8.037757","19.164794","0.136839","0","1"
"rest","spike","5","264.970197","195.49558","785.283697","457.682489","42.974949","5.771724","0","1"
"rest","stress","5","91.70716","62.624232","335.092143","439.422611","29.27139","1.637904","0","1"
