"model","scenario","run","avg_ms","median_ms","p90_ms","p95_ms","p99_ms","max_ms","req_per_sec","error_rate","checks_rate","iterations"
"async","baseline","1","41.445393","34.6037","62.70546","78.84985",,"233.6602","9.544347","0","1","1155"
"async","baseline","2","45.201989","36.7974","76.277","93.364",,"231.985","9.524329","0","1","1151"
"async","baseline","3","42.025995","36.4699","61.82814","75.87518",,"211.5862","9.567859","0","1","1157"
"async","baseline","4","52.762716","40.1081","96.99","137.8649",,"276.9188","9.48387","0","1","1141"
"async","baseline","5","82.982392","49.5774","183.81682","296.87712",,"701.3243","9.173705","0","1","1109"
"async","edge","1","21.618889","16.9053","39.70209","46.07881",,"64.4144","4.88562","0","1","590"
"async","edge","2","27.589975","19.0878","52.90864","64.28272",,"1042.0585","4.8188","0","1","585"
"async","edge","3","22.026683","17.14375","40.84562","49.218335",,"122.5376","4.882545","0","1","590"
"async","edge","4","22.758819","17.7906","41.52294","48.550325",,"82.856","4.878516","0","1","590"
"async","edge","5","23.239904","17.75865","44.02329","52.24775",,"102.6299","4.876857","0","1","590"
"async","endurance","1","31.653545","25.857","49.64312","62.7017",,"602.8335","19.367437","0","1","11629"
"async","endurance","2","33.701109","25.4136","55.30778","71.7352",,"934.2175","19.323478","0","1","11609"
"async","endurance","3","36.920214","25.0258","50.823","71.105925",,"1087.5025","19.270887","0","1","11578"
"async","endurance","4","72.54639","32.8204","145.79308","287.873375",,"2676.9532","18.627175","0","1","11180"
"async","endurance","5","46.945046","29.74015","77.16735","110.900775",,"1182.0766","19.075542","0","1","11466"
"async","spike","1","213.411504","100.4577","379.64182","565.50468",,"4684.6188","44.074062","0","1","7957"
"async","spike","2","444.625703","256.1268","1188.86442","1538.70782",,"2997.4719","37.160739","0","1","6693"
"async","spike","3","325.699577","126.8239","919.87722","1440.74944",,"3271.8137","40.311557","0","1","7285"
"async","spike","4","174.918692","94.28915","390.06363","516.29191",,"2677.0194","45.503796","0","1","8224"
